LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01015391,Poole 010B,E06000058,"Bournemouth, Christchurch and Poole","21,285",7
E01020357,Christchurch 003C,E06000058,"Bournemouth, Christchurch and Poole","21,198",7
E01015418,Poole 006B,E06000058,"Bournemouth, Christchurch and Poole","21,197",7
E01020403,East Dorset 004A,E06000059,Dorset,"21,099",7
E01020481,Purbeck 006D,E06000059,Dorset,"21,081",7
E01015428,Poole 014B,E06000058,"Bournemouth, Christchurch and Poole","21,075",7
E01015352,Bournemouth 004D,E06000058,"Bournemouth, Christchurch and Poole","21,029",7
E01020515,West Dorset 012D,E06000059,Dorset,"20,951",7
E01020570,Weymouth and Portland 001C,E06000059,Dorset,"20,927",7
E01020542,West Dorset 001A,E06000059,Dorset,"20,862",7
E01020579,Weymouth and Portland 003D,E06000059,Dorset,"20,815",7
E01015340,Bournemouth 008C,E06000058,"Bournemouth, Christchurch and Poole","20,784",7
E01015438,Poole 008A,E06000058,"Bournemouth, Christchurch and Poole","20,737",7
E01020509,West Dorset 004A,E06000059,Dorset,"20,625",7
E01015376,Bournemouth 013D,E06000058,"Bournemouth, Christchurch and Poole","20,609",7
E01015354,Bournemouth 004F,E06000058,"Bournemouth, Christchurch and Poole","20,571",7
E01015454,Poole 017C,E06000058,"Bournemouth, Christchurch and Poole","20,568",7
E01020424,East Dorset 006D,E06000059,Dorset,"20,509",7
E01015387,Poole 009B,E06000058,"Bournemouth, Christchurch and Poole","20,483",7
E01020526,West Dorset 009C,E06000059,Dorset,"20,481",7
E01033286,Bournemouth 023C,E06000058,"Bournemouth, Christchurch and Poole","20,471",7
E01020498,West Dorset 006A,E06000059,Dorset,"20,461",7
E01020365,Christchurch 001D,E06000058,"Bournemouth, Christchurch and Poole","20,410",7
E01020465,Purbeck 001A,E06000059,Dorset,"20,360",7
E01020449,North Dorset 004C,E06000059,Dorset,"20,332",7
E01015425,Poole 016C,E06000058,"Bournemouth, Christchurch and Poole","20,242",7
E01020537,West Dorset 011B,E06000059,Dorset,"20,194",7
E01015446,Poole 012B,E06000058,"Bournemouth, Christchurch and Poole","20,179",7
E01020477,Purbeck 003B,E06000059,Dorset,"20,178",7
E01015414,Poole 004C,E06000058,"Bournemouth, Christchurch and Poole","20,155",7
E01015324,Bournemouth 006C,E06000058,"Bournemouth, Christchurch and Poole","19,999",7
E01020513,West Dorset 012B,E06000059,Dorset,"19,954",7
E01020492,Purbeck 004D,E06000059,Dorset,"19,929",7
E01015413,Poole 004B,E06000058,"Bournemouth, Christchurch and Poole","19,917",7
E01015462,Poole 013D,E06000058,"Bournemouth, Christchurch and Poole","19,863",7
E01020390,East Dorset 008A,E06000059,Dorset,"19,784",7
E01015330,Bournemouth 010B,E06000058,"Bournemouth, Christchurch and Poole","19,752",7
E01020429,East Dorset 010D,E06000059,Dorset,"19,735",7
E01015369,Bournemouth 024C,E06000058,"Bournemouth, Christchurch and Poole","19,638",6
E01015337,Bournemouth 003E,E06000058,"Bournemouth, Christchurch and Poole","19,516",6
E01015392,Poole 010C,E06000058,"Bournemouth, Christchurch and Poole","19,481",6
